latitude,longitude,scan,track,confidence,frp,daynight,Class,source
59.2092,-120.4357,1.7,1.3,98,116.5,0,1,1
58.7517,-118.3016,2.4,1.5,0,46.3,0,0,1
58.31187,-120.57095,0.39,0.36,66,4.07,0,1,0
58.7432,-118.2936,2.4,1.5,100,189.8,0,0,1
60.7059,-117.2063,2.8,1.6,7,27.5,0,1,1
58.26215,-119.37462,0.64,0.72,66,6.39,0,1,0
58.713,-118.3724,2.4,1.5,95,73.5,0,0,1
56.22849,-101.74682,0.43,0.38,66,1.66,0,1,0
59.72121,-119.68939,0.39,0.36,66,2.25,0,1,0
59.5868,-113.0293,3.0,1.6,100,135.4,0,1,1
58.28334,-119.38589,0.42,0.45,66,4.46,0,0,0
59.0142,-120.9533,2.4,1.5,13,48.7,0,0,1
58.72673,-119.8587,0.44,0.46,66,2.44,0,0,0
61.11472,-112.35564,0.43,0.38,66,17.04,1,0,0
59.31689,-110.71984,0.42,0.38,66,35.38,1,0,0
59.97305,-113.7729,0.46,0.39,66,1.47,0,1,0
58.30611,-118.54343,0.4,0.37,66,4.34,0,1,0
57.61592,-120.43987,0.45,0.47,66,10.58,0,0,0
59.38756,-121.39748,0.44,0.46,66,1.95,0,0,0
59.88745,-112.09001,0.33,0.55,66,0.8,0,1,0
59.30657,-121.50348,0.51,0.49,66,9.82,0,0,0
58.6513,-118.0222,2.5,1.5,100,6015.3,0,1,1
57.34978,-122.05608,0.75,0.77,66,1.96,0,1,0
60.26199,-118.00082,0.53,0.67,66,1.75,0,1,0
59.71703,-119.70681,0.39,0.36,66,1.33,0,1,0
58.7624,-118.0545,2.1,1.4,100,89.3,0,1,1
57.54711,-120.46812,0.54,0.51,66,6.31,0,0,0
58.7847,-117.9857,2.1,1.4,100,62.8,0,0,1
59.274,-122.1404,2.6,1.5,9,36.1,0,0,1
58.2549,-119.4049,2.1,1.4,100,193.0,0,1,1
60.89495,-111.18074,0.41,0.37,66,0.97,0,0,0
60.99807,-112.37395,0.69,0.74,66,6.01,0,1,0
61.08431,-112.29372,0.43,0.38,66,2.35,0,0,0
57.6177,-120.4417,1.9,1.3,100,339.1,0,1,1
59.83781,-110.90607,0.51,0.41,66,9.01,1,1,0
58.058,-113.4151,1.6,1.2,98,138.5,1,1,1
58.24431,-121.76406,0.5,0.49,66,9.86,0,0,0
59.7898,-116.0385,1.4,1.2,58,24.8,1,1,1
59.41719,-114.27624,0.42,0.38,66,7.67,1,1,0
58.696,-118.0159,2.1,1.4,100,234.8,0,1,1
61.504,-111.4311,1.8,1.3,0,110.7,1,1,1
59.6011,-111.6925,1.9,1.4,48,26.2,1,1,1
59.04959,-114.5891,0.53,0.42,66,21.94,1,0,0
61.6322,-110.4756,2.3,1.5,0,30.9,1,0,1
58.12283,-119.82546,0.39,0.36,66,1.69,0,1,0
55.94271,-104.42963,0.47,0.39,66,5.66,0,0,0
58.701,-117.9915,2.5,1.5,100,1488.0,0,1,1
58.0536,-113.4755,1.4,1.2,43,26.2,0,0,1
57.77192,-122.614,0.39,0.36,66,9.88,0,1,0
55.9877,-109.2267,2.4,1.5,100,436.7,1,1,1
58.7449,-120.2123,2.3,1.5,79,24.9,0,0,1
61.2228,-111.98138,0.47,0.4,66,1.63,0,1,0
58.29649,-119.43113,0.39,0.36,66,5.5,0,1,0
57.6387,-113.2385,1.4,1.2,32,10.2,0,0,1
58.05061,-119.76372,0.43,0.46,66,2.83,0,0,0
59.3576,-110.5295,2.2,1.4,0,30.0,1,0,1
58.18522,-113.4635,0.52,0.41,66,9.02,0,1,0
58.6547,-117.937,2.5,1.5,100,63.5,0,0,1
59.0089,-120.5228,2.7,1.6,90,59.4,0,0,1
58.21021,-121.72714,0.5,0.49,66,4.05,0,0,0
58.48641,-118.32069,0.59,0.53,66,6.85,0,0,0
59.4446,-121.559,1.5,1.2,22,12.9,0,1,1
58.1769,-119.4235,2.1,1.4,17,38.3,0,1,1
59.42937,-121.31084,0.5,0.49,66,6.57,0,0,0
55.9538,-125.1377,1.2,1.1,82,77.1,1,1,1
61.2148,-111.9603,2.0,1.4,68,31.2,1,1,1
58.7367,-118.341,2.4,1.5,71,57.8,0,0,1
59.40372,-114.20085,0.46,0.39,66,3.84,0,1,0
61.116,-121.0341,2.0,1.4,100,63.3,0,0,1
58.93228,-120.90373,0.48,0.48,66,7.66,0,0,0
57.64864,-120.3996,0.54,0.51,66,5.23,0,0,0
59.59861,-114.49567,0.4,0.6,66,6.65,0,1,0
59.42877,-114.31693,0.36,0.57,66,3.01,0,0,0
58.12703,-120.63087,0.51,0.49,66,3.49,0,0,0
56.8799,-119.2876,2.5,1.5,75,43.1,0,1,1
57.6521,-120.603,2.6,1.6,72,40.8,0,0,1
58.80184,-118.04816,0.58,0.52,100,35.4,0,0,0
61.20119,-111.97394,0.42,0.38,66,11.58,1,0,0
57.0894,-100.2358,1.1,1.0,67,33.4,1,0,1
57.67221,-120.40733,0.54,0.51,66,9.6,0,0,0
61.1283,-121.037,2.0,1.4,100,202.8,0,0,1
58.1886,-119.4531,2.0,1.4,99,84.9,0,1,1
58.641,-121.0833,1.7,1.3,0,51.9,0,1,1
