latitude,longitude,bright_ti4,scan,track,acq_time,satellite,confidence,bright_ti5,frp,daynight,Class
58.83612,-118.08105,314.7,0.38,0.43,938,0,1,284.95,1.67,0,0
57.09415,-100.26958,346.32,0.43,0.38,1929,0,1,299.15,135.3,1,0
58.87838,-121.02634,304.27,0.48,0.48,938,0,1,271.28,4.89,0,0
58.8189,-118.01993,301.18,0.57,0.43,938,0,1,287.62,2.09,0,0
57.09674,-100.27795,367.0,0.43,0.38,1929,0,0,360.7,135.3,1,0
59.07273,-120.31643,308.31,0.46,0.47,938,0,1,279.78,3.12,0,0
58.81761,-118.15535,312.3,0.39,0.44,938,0,1,288.96,0.88,0,0
58.56211,-120.98202,301.26,0.48,0.48,938,0,1,284.42,2.16,0,0
58.82397,-118.13278,347.56,0.38,0.44,938,0,1,284.29,13.14,0,0
58.14809,-118.63042,350.3,0.39,0.44,938,0,1,295.32,6.65,0,0
58.78296,-120.01171,306.49,0.44,0.46,938,0,1,282.84,1.72,0,0
57.07671,-100.27448,310.82,0.34,0.56,757,0,1,280.08,1.32,0,0
57.08193,-100.27389,320.45,0.34,0.56,757,0,1,284.1,2.83,0,0
59.16438,-120.37692,302.65,0.48,0.48,1118,0,1,283.66,2.8,0,0
58.72023,-120.47259,306.55,0.49,0.49,1118,0,1,281.09,2.49,0,0
59.06841,-120.31744,309.6,0.46,0.47,938,0,1,279.62,3.12,0,0
58.12403,-118.53568,341.68,0.39,0.44,938,0,1,291.71,4.65,0,0
59.76051,-111.75903,367.0,0.43,0.62,2111,0,2,300.36,23.15,1,0
42.13731,-83.09145,339.47,0.44,0.46,800,0,1,285.36,6.26,0,0
56.88825,-119.58583,347.53,0.43,0.46,2110,0,1,266.77,6.59,1,0
59.03837,-120.90648,295.1,0.48,0.48,938,0,1,277.33,1.05,0,0
58.74126,-118.28113,301.4,0.39,0.44,938,0,1,288.53,1.33,0,0
57.75307,-122.62623,306.34,0.46,0.47,1119,0,1,280.68,5.16,0,0
58.82214,-118.16083,304.87,0.39,0.44,938,0,1,288.48,0.88,0,0
58.8216,-118.15411,308.95,0.39,0.44,938,0,1,288.9,0.88,0,0
58.64098,-120.49411,306.53,0.5,0.49,1118,0,1,279.17,1.67,0,0
58.90319,-121.02173,301.4,0.48,0.48,938,0,1,271.03,3.73,0,0
57.23776,-120.70891,295.47,0.55,0.51,1119,0,1,275.56,2.97,0,0
58.78491,-118.21269,302.15,0.39,0.44,938,0,1,288.67,0.85,0,0
58.52946,-120.81531,307.22,0.47,0.48,938,0,1,281.87,2.27,0,0
58.67056,-120.1151,317.55,0.45,0.47,938,0,1,282.81,3.91,0,0
57.09777,-100.27821,296.09,0.34,0.56,757,0,1,283.14,2.15,0,0
58.82683,-118.12871,322.08,0.58,0.52,1118,0,1,287.44,29.74,0,0
